date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:24:45	40688/40688	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2013:47:11%20GMT	http://hcde-texas.org/media/uploads/2020/08/shutterstock_1713193648-e1597067231381.jpg	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/shutterstock_1713193648-e1597067231381.jpg	(from https://hcde-texas.org/teaching-and-learning-center/digital-learning/)
13:24:57	975075/975075	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Aug%202020%2017:46:27%20GMT	https://hcde-texas.org/media/cache/autoptimize/css/autoptimize_f60ccf608f63ba4dbbe82973aa039023.css	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/cache/autoptimize/css/autoptimize_f60ccf608f63ba4dbbe82973aa039023.css	(from https://hcde-texas.org/teaching-and-learning-center/digital-learning/)
13:25:09	70626/70626	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Aug%202020%2017:38:35%20GMT	https://hcde-texas.org/media/uploads/2020/08/tlc-whole-flyer.jpg	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/tlc-whole-flyer.jpg	(from https://hcde-texas.org/teaching-and-learning-center/digital-learning/)
13:25:30	125062/125062	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2014:45:00%20GMT	http://hcde-texas.org/media/uploads/2020/08/shutterstock_1135201928-e1597070700544.jpg	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/shutterstock_1135201928-e1597070700544.jpg	(from https://hcde-texas.org/teaching-and-learning-center/digital-learning/)
13:25:30	227238/227238	---M--	200	added ('OK')	application/pdf	date:Thu,%2020%20Aug%202020%2017:43:02%20GMT	http://hcde-texas.org/media/uploads/2020/08/TLC-Workshop-Flyer-Virtual-Learning-Instructor-Cert-20200820.pdf	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/TLC-Workshop-Flyer-Virtual-Learning-Instructor-Cert-20200820.pdf	(from https://hcde-texas.org/teaching-and-learning-center/digital-learning/)
13:25:36	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2018:25:31%20GMT	https://hcde-texas.org/teaching-and-learning-center/digital-learning/human-resources/employee-portal/	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/teaching-and-learning-center/digital-learning/human-resources/employee-portal/index.html	(from https://hcde-texas.org/teaching-and-learning-center/digital-learning/)
13:25:36	340780/340780	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2014:14:36%20GMT	http://hcde-texas.org/media/uploads/2020/08/shutterstock_1368057380.jpg	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/shutterstock_1368057380.jpg	(from https://hcde-texas.org/teaching-and-learning-center/digital-learning/)
13:25:36	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2018:25:31%20GMT	https://hcde-texas.org/teaching-and-learning-center/digital-learning/public-information-request/	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/teaching-and-learning-center/digital-learning/public-information-request/index.html	(from https://hcde-texas.org/teaching-and-learning-center/digital-learning/)
13:26:01	77241/77241	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2015:46:40%20GMT	http://hcde-texas.org/media/uploads/2020/08/shutterstock_1165541275-e1597074400508.jpg	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/shutterstock_1165541275-e1597074400508.jpg	(from https://hcde-texas.org/teaching-and-learning-center/early-childhood/)
13:26:03	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2018:25:57%20GMT	https://hcde-texas.org/teaching-and-learning-center/early-childhood/human-resources/employee-portal/	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/teaching-and-learning-center/early-childhood/human-resources/employee-portal/index.html	(from https://hcde-texas.org/teaching-and-learning-center/early-childhood/)
13:26:09	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2018:26:02%20GMT	https://hcde-texas.org/teaching-and-learning-center/early-childhood/public-information-request/	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/teaching-and-learning-center/early-childhood/public-information-request/index.html	(from https://hcde-texas.org/teaching-and-learning-center/early-childhood/)
13:26:23	155930/155930	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2015:54:36%20GMT	http://hcde-texas.org/media/uploads/2020/08/shutterstock_1341592322-e1597074876996.jpg	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/shutterstock_1341592322-e1597074876996.jpg	(from https://hcde-texas.org/teaching-and-learning-center/early-childhood/)
13:26:33	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2018:26:26%20GMT	https://hcde-texas.org/teaching-and-learning-center/ela/human-resources/employee-portal/	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/teaching-and-learning-center/ela/human-resources/employee-portal/index.html	(from https://hcde-texas.org/teaching-and-learning-center/ela/)
13:26:40	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2018:26:34%20GMT	https://hcde-texas.org/teaching-and-learning-center/ela/public-information-request/	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/teaching-and-learning-center/ela/public-information-request/index.html	(from https://hcde-texas.org/teaching-and-learning-center/ela/)
13:26:42	999765/999765	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Aug%202020%2017:52:36%20GMT	https://hcde-texas.org/media/cache/autoptimize/css/autoptimize_21f28f470011dfdef2c704aa0e3e422e.css	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/cache/autoptimize/css/autoptimize_21f28f470011dfdef2c704aa0e3e422e.css	(from https://hcde-texas.org/teaching-and-learning-center/ela/)
13:26:59	65793/65793	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Aug%202020%2001:12:58%20GMT	http://hcde-texas.org/media/uploads/2020/08/math-pexels-magda-ehlers-e1596762778437.jpeg	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/math-pexels-magda-ehlers-e1596762778437.jpg	(from https://hcde-texas.org/teaching-and-learning-center/math/)
13:27:07	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2018:27:00%20GMT	https://hcde-texas.org/teaching-and-learning-center/math/human-resources/employee-portal/	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/teaching-and-learning-center/math/human-resources/employee-portal/index.html	(from https://hcde-texas.org/teaching-and-learning-center/math/)
13:27:15	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2018:27:08%20GMT	https://hcde-texas.org/teaching-and-learning-center/math/public-information-request/	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/teaching-and-learning-center/math/public-information-request/index.html	(from https://hcde-texas.org/teaching-and-learning-center/math/)
13:27:25	241354/241354	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Aug%202020%2016:21:33%20GMT	https://hcde-texas.org/media/uploads/2020/08/shutterstock_1150902248.jpg	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/shutterstock_1150902248.jpg	(from https://hcde-texas.org/teaching-and-learning-center/ela/)
13:27:25	989506/989506	---M--	200	added ('OK')	text/css	date:Fri,%2007%20Aug%202020%2016:46:52%20GMT	https://hcde-texas.org/media/cache/autoptimize/css/autoptimize_02c086f25ec59fe76f216c401d9f6bf5.css	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/cache/autoptimize/css/autoptimize_02c086f25ec59fe76f216c401d9f6bf5.css	(from https://hcde-texas.org/teaching-and-learning-center/math/)
13:27:55	968193/968193	---M--	200	added ('OK')	text/css	date:Mon,%2010%20Aug%202020%2016:11:56%20GMT	https://hcde-texas.org/media/cache/autoptimize/css/autoptimize_3535a0ef867445fe15ebb8f5d5bdf922.css	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/cache/autoptimize/css/autoptimize_3535a0ef867445fe15ebb8f5d5bdf922.css	(from https://hcde-texas.org/teaching-and-learning-center/leadership/)
13:28:02	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2018:27:57%20GMT	https://hcde-texas.org/teaching-and-learning-center/leadership/human-resources/employee-portal/	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/teaching-and-learning-center/leadership/human-resources/employee-portal/index.html	(from https://hcde-texas.org/teaching-and-learning-center/leadership/)
13:28:05	133976/133976	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2015:21:21%20GMT	http://hcde-texas.org/media/uploads/2020/08/shutterstock_1010986648-e1597072881684.jpg	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/shutterstock_1010986648-e1597072881684.jpg	(from https://hcde-texas.org/teaching-and-learning-center/leadership/)
13:28:10	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2018:28:03%20GMT	https://hcde-texas.org/teaching-and-learning-center/leadership/public-information-request/	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/teaching-and-learning-center/leadership/public-information-request/index.html	(from https://hcde-texas.org/teaching-and-learning-center/leadership/)
13:28:38	216928/216928	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2015:03:14%20GMT	http://hcde-texas.org/media/uploads/2020/08/shutterstock_696427978-e1597071794328.jpg	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/shutterstock_696427978-e1597071794328.jpg	(from https://hcde-texas.org/teaching-and-learning-center/leadership/)
13:29:07	185687/185687	---M--	200	added ('OK')	application/pdf	date:Wed,%2019%20Dec%202018%2017:46:11%20GMT	http://hcde-texas.org/media/uploads/2018/12/Vertical-Alignment-K-5-Science.pdf	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2018/12/Vertical-Alignment-K-5-Science.pdf	(from https://hcde-texas.org/teaching-and-learning-center/science/)
13:29:17	307641/307641	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Aug%202020%2019:30:18%20GMT	http://hcde-texas.org/media/uploads/2020/08/shutterstock_1029243295-e1596828618333.jpg	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/shutterstock_1029243295-e1596828618333.jpg	(from https://hcde-texas.org/teaching-and-learning-center/science/)
13:29:35	357020/357020	---M--	200	added ('OK')	application/pdf	date:Wed,%2019%20Dec%202018%2017:46:14%20GMT	http://hcde-texas.org/media/uploads/2018/12/Vertical-Alignment-6-12-Science.pdf	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2018/12/Vertical-Alignment-6-12-Science.pdf	(from https://hcde-texas.org/teaching-and-learning-center/science/)
13:29:37	117990/117990	---M--	200	added ('OK')	application/pdf	date:Wed,%2019%20Dec%202018%2017:46:13%20GMT	http://hcde-texas.org/media/uploads/2018/12/Cognitive-Rigor-Matrix-for-Science.pdf	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2018/12/Cognitive-Rigor-Matrix-for-Science.pdf	(from https://hcde-texas.org/teaching-and-learning-center/science/)
13:29:44	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2018:29:38%20GMT	https://hcde-texas.org/teaching-and-learning-center/science/human-resources/employee-portal/	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/teaching-and-learning-center/science/human-resources/employee-portal/index.html	(from https://hcde-texas.org/teaching-and-learning-center/science/)
13:29:48	269496/269496	---M--	200	added ('OK')	application/pdf	date:Wed,%2019%20Dec%202018%2017:46:10%20GMT	http://hcde-texas.org/media/uploads/2018/12/Vertical-Alignment-K-5-Literacy-Color.pdf	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2018/12/Vertical-Alignment-K-5-Literacy-Color.pdf	(from https://hcde-texas.org/teaching-and-learning-center/science/)
13:29:51	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Sep%202020%2018:29:45%20GMT	https://hcde-texas.org/teaching-and-learning-center/science/public-information-request/	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/teaching-and-learning-center/science/public-information-request/index.html	(from https://hcde-texas.org/teaching-and-learning-center/science/)
13:30:10	138763/138763	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Aug%202020%2021:37:33%20GMT	http://hcde-texas.org/media/uploads/2020/08/shutterstock_587491055-e1596836253642.jpg	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/shutterstock_587491055-e1596836253642.jpg	(from https://hcde-texas.org/teaching-and-learning-center/science/)
13:30:24	984331/984331	---M--	200	added ('OK')	text/css	date:Mon,%2010%20Aug%202020%2016:23:46%20GMT	https://hcde-texas.org/media/cache/autoptimize/css/autoptimize_a7ec4a4a9329cd3628198041a0bb3fe5.css	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/cache/autoptimize/css/autoptimize_a7ec4a4a9329cd3628198041a0bb3fe5.css	(from https://hcde-texas.org/teaching-and-learning-center/special-populations/)
13:30:40	157581/157581	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2012:21:00%20GMT	http://hcde-texas.org/media/uploads/2020/08/shutterstock_636281354-e1597062060364.jpg	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/shutterstock_636281354-e1597062060364.jpg	(from https://hcde-texas.org/teaching-and-learning-center/special-populations/)
13:30:41	111147/111147	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Aug%202020%2012:55:46%20GMT	http://hcde-texas.org/media/uploads/2020/08/shutterstock_1103221121.jpg	C:/My%20Web%20Sites/HCDE2/hcde-texas.org/media/uploads/2020/08/shutterstock_1103221121.jpg	(from https://hcde-texas.org/teaching-and-learning-center/special-populations/)
